DoseTime,Sol,AnTime,AveAll,SDAll
0,0,0,0.473333333,0.004624812
0,0,24,0.001083333,0.001037492
0,0,48,-0.00075,0.000721688
0,0,72,0.0025,0.000645497
0,0,96,0.000583333,0.000493007
20,0,0,0.536833333,0.014328488
20,0,24,0.00125,0.000721688
20,0,48,0.000416667,0.000953794
20,0,72,0.00275,0.000829156
20,0,96,0.001416667,0.000759203
40,0,0,0.583166667,0.00481029
40,0,24,0.003416667,0.001114924
40,0,48,0.001833333,0.000897527
40,0,72,0.004,0.001
40,0,96,0.002416667,0.001037492
80,0,0,0.658083333,0.013708017
80,0,24,0.0045,0.000645497
80,0,48,0.000416667,0.000640095
80,0,72,0.003333333,0.00062361
80,0,96,0.002166667,0.000687184
120,0,0,0.715,0.016881943
120,0,24,0.006666667,0.001972027
120,0,48,0.001666667,0.002054805
120,0,72,0.004333333,0.001312335
120,0,96,0.002083333,0.001187317
0,25,0,0.69575,0.013911177
0,25,24,0.002916667,0.001753964
0,25,48,0.002083333,0.000493007
0,25,72,0.001583333,0.000640095
0,25,96,0.003583333,0.000493007
20,25,0,0.803083333,0.014551394
20,25,24,0.03125,0.010050912
20,25,48,0.003166667,0.000687184
20,25,72,0.004333333,0.001433721
20,25,96,0.004083333,0.000862007
40,25,0,0.956166667,0.034901846
40,25,24,0.080333333,0.011855613
40,25,48,0.0045,0.0005
40,25,72,0.001666667,0.000849837
40,25,96,0.00425,0.001963203
80,25,0,1.114083333,0.055221461
80,25,24,0.139,0.021003968
80,25,48,0.004166667,0.001674979
80,25,72,0.004,0.001914854
80,25,96,0.004583333,0.001037492
120,25,0,1.258416667,0.04697421
120,25,24,0.2455,0.006677075
120,25,48,0.002083333,0.000640095
120,25,72,0.004083333,0.000862007
120,25,96,0.001833333,0.000799305
0,50,0,0.794916667,0.01609585
0,50,24,0.0525,0.00635741
0,50,48,0.00075,0.000721688
0,50,72,0.002416667,0.001114924
0,50,96,0.005416667,0.002019007
20,50,0,0.953833333,0.023695405
20,50,24,0.119583333,0.008741265
20,50,48,0.003083333,0.001440968
20,50,72,0.0035,0.001607275
20,50,96,0.003333333,0.00062361
40,50,0,1.132916667,0.038906851
40,50,24,0.197666667,0.020278615
40,50,48,0.004166667,0.000687184
40,50,72,0.002,0.000912871
40,50,96,0.003083333,0.000953794
80,50,0,1.3595,0.033340416
80,50,24,0.334833333,0.023039218
80,50,48,0.002916667,0.001037492
80,50,72,0.002916667,0.000276385
80,50,96,0.00475,0.00163936
120,50,0,1.675833333,0.055401314
120,50,24,0.541583333,0.03986113
120,50,48,0.034166667,0.01581051
120,50,72,0.001083333,0.000759203
120,50,96,0.00275,0.001233221
